GPSS Week    Seconds of Week          X(m)              Y(m)              Z(m)           Clock(m)
2394     208395.000   -2267090.228    5009699.045    3221063.353          9.713
2394     208396.000   -2267087.799    5009697.801    3221063.408         21.260
2394     208397.000   -2267085.070    5009696.749    3221062.348        101.378
2394     208398.000   -2267081.338    5009696.121    3221058.720         16.765
2394     208399.000   -2267077.085    5009693.245    3221055.519          1.936
2394     208400.000   -2267076.849    5009692.634    3221056.632         -6.170
2394     208401.000   -2267077.237    5009692.112    3221058.990        -11.875
2394     208402.000   -2267075.428    5009689.574    3221059.352         77.368
2394     208403.000   -2267075.840    5009688.993    3221058.702         14.096
2394     208404.000   -2267075.369    5009688.097    3221057.764         15.860
2394     208405.000   -2267075.312    5009686.203    3221055.438         -0.151
2394     208406.000   -2267076.338    5009685.354    3221055.140          3.797
2394     208407.000   -2267078.352    5009685.270    3221054.089         90.032
2394     208408.000   -2267079.783    5009684.951    3221053.071         -0.586
2394     208409.000   -2267082.481    5009686.812    3221053.101         15.407
2394     208410.000   -2267084.092    5009688.612    3221052.345         25.425
2394     208411.000   -2267086.930    5009688.782    3221052.245        -12.647
2394     208412.000   -2267089.218    5009688.872    3221052.379         55.634
2394     208413.000   -2267090.575    5009688.306    3221052.208         -9.470
2394     208414.000   -2267091.346    5009686.473    3221052.618         -7.977
2394     208415.000   -2267096.209    5009686.993    3221055.670        -14.215
2394     208416.000   -2267101.033    5009688.772    3221059.141         80.415
2394     208417.000   -2267105.593    5009689.873    3221061.547          5.996
2394     208418.000   -2267110.409    5009691.251    3221063.340         10.797
2394     208419.000   -2267114.424    5009691.862    3221065.560         24.928
2394     208420.000   -2267119.492    5009693.597    3221070.487         47.528
2394     208421.000   -2267124.880    5009693.908    3221077.445        143.338
2394     208422.000   -2267130.411    5009692.656    3221083.900         69.731
2394     208423.000   -2267138.004    5009689.684    3221094.501         88.154
2394     208424.000   -2267142.154    5009688.523    3221100.618         67.722
2394     208425.000   -2267145.091    5009690.510    3221104.712         53.838
2394     208426.000   -2267148.996    5009694.987    3221107.741         96.432
2394     208427.000   -2267151.903    5009698.811    3221109.237         70.695
2394     208428.000   -2267155.081    5009703.887    3221114.010         78.926
2394     208429.000   -2267159.021    5009705.560    3221118.916         84.666
2394     208430.000   -2267163.051    5009706.662    3221124.948         89.038
2394     208431.000   -2267166.717    5009708.266    3221129.881        184.066
2394     208432.000   -2267171.613    5009711.865    3221135.900        121.931
2394     208433.000   -2267176.696    5009716.505    3221143.248        135.491
2394     208434.000   -2267182.928    5009725.277    3221148.346        136.165
2394     208435.000   -2267187.230    5009729.140    3221153.142        135.184
